Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.798814,90.372445,1500,3,3,22000
1,23.870317,90.385814,1500,3,3,35000
1,23.811952,90.371989,950,3,2,15000
1,23.7897,90.372253,1200,3,3,20000
1,23.782145,90.415916,25900,21,10,2100000
1,23.759029,90.365737,2700,3,3,60000
1,23.818218,90.427297,1700,3,3,30000
1,23.820938,90.43861,1050,3,2,27000
1,23.872612,90.387723,1200,3,3,25000
1,23.808462,90.37748,1200,4,4,22000
1,23.822702,90.442058,1650,3,3,22000
1,23.798048,90.367562,500,1,1,8000
1,23.811821,90.364284,950,1,3,17000
1,23.798048,90.367562,850,2,2,14000
1,23.797916,90.368299,1700,3,3,35000
1,23.755396,90.40844,650,2,1,14000
1,23.74691,90.398656,1600,3,3,40000
1,23.866179409909,90.398411367983,1550,3,3,40000
1,23.874777,90.388188,1665,3,4,55000
1,23.818255,90.369541,650,2,2,10000
1,23.870317,90.385814,800,2,2,19100
1,23.818055,90.364187,1100,3,3,18000
1,23.870317,90.385814,1200,2,2,100000
1,23.75751,90.424947,850,2,2,15000
1,23.818255,90.369541,1200,3,3,16000
1,23.871294,90.403087,1600,3,3,40000
1,23.818055,90.364187,750,2,2,14000
1,23.804695,90.381094,1872,3,3,26000
1,23.826752,90.438958,1500,3,3,26000
1,23.837387,90.369139,1150,3,3,21000
1,23.834913,90.418402,800,2,2,21500
1,23.870317,90.385814,900,2,2,19000
1,23.820661,90.433234,1400,2,3,25000
1,23.883581,90.389312,1500,3,3,25000
1,23.856228,90.354444,1654,3,3,15000
1,23.750672,90.363168,950,3,3,22000
1,23.824158,90.371518,1150,3,3,21000
1,23.818218,90.427297,1700,3,3,30000
1,23.73994,90.41353,1400,3,2,32000
1,23.826752,90.438958,800,2,2,20000
1,23.74691,90.398656,3095,4,5,45000
1,23.754982,90.366631,1700,3,4,25000
1,23.782145,90.415916,2500,3,3,101000
1,23.748651,90.403677,850,2,2,22000
1,23.782145,90.415916,8000,4,5,305000
1,23.788729,90.400847,2200,3,3,70000
1,23.818055,90.364187,1100,3,3,18000
1,23.811821,90.364284,650,2,2,13000
1,23.788729,90.400847,2200,3,3,70000
